date,city,temperature_c,humidity_percent,electricity_units_kwh,household_size,income_level,power_outage_hours
2022-01-01,3,26.9,88,26.65,3,1,3.32
2022-01-02,4,31.4,85,25.32,3,0,1.26
2022-01-03,0,37.5,51,23.4,7,1,2.51
2022-01-04,4,22.8,65,20.51,4,0,2.47
2022-01-05,4,30.9,63,29.2,7,2,0.32
2022-01-06,2,25.1,59,22.84,5,2,0.18
2022-01-07,0,38.4,54,10.2,2,1,1.92
2022-01-08,0,19.3,74,15.3,4,2,0.26
2022-01-09,0,26.1,57,20.88,6,2,2.85
2022-01-10,4,32.6,30,23.86,8,1,1.94
2022-01-11,3,41.0,78,21.66,5,2,2.77
2022-01-12,0,29.5,74,29.31,4,1,0.53
2022-01-13,4,26.1,33,10.29,8,0,0.57
2022-01-14,2,43.2,36,22.86,8,0,1.67
2022-01-15,3,19.9,78,11.09,2,0,0.05
2022-01-16,2,14.6,38,26.56,3,1,1.94
2022-01-17,3,33.1,65,21.43,6,1,2.71
2022-01-18,4,26.5,48,24.52,7,2,0.8
2022-01-19,1,22.9,30,16.82,2,2,2.17
2022-01-20,3,35.0,39,29.68,5,2,0.29
2022-01-21,2,31.7,65,28.25,8,2,0.58
2022-01-22,4,26.1,38,25.5,5,2,5.49
2022-01-23,3,21.0,74,21.22,8,1,6.44
2022-01-24,1,36.1,75,25.48,3,1,1.08
2022-01-25,1,34.6,71,17.76,3,0,4.08
2022-01-26,0,29.3,61,27.13,6,0,1.11
2022-01-27,0,42.9,61,31.9,7,0,0.52
2022-01-28,2,22.5,35,28.42,6,0,0.47
2022-01-29,3,19.3,77,17.62,3,1,3.98
2022-01-30,3,25.2,67,24.17,3,1,0.28
2022-01-31,0,29.7,46,14.24,5,1,1.3
2022-02-01,3,31.7,39,25.43,3,2,1.22
2022-02-02,3,28.3,79,24.7,4,2,2.02
2022-02-03,1,32.5,56,10.78,8,0,1.04
2022-02-04,0,21.2,83,15.03,2,2,0.48
2022-02-05,4,40.1,79,20.3,3,1,0.28
2022-02-06,0,29.4,64,20.19,6,0,1.45
2022-02-07,4,37.8,81,14.74,7,0,1.9
2022-02-08,1,32.4,88,24.33,8,2,1.26
2022-02-09,2,33.2,50,23.51,8,0,2.01
2022-02-10,3,34.0,54,20.83,7,2,0.23
2022-02-11,1,33.1,57,17.47,7,2,3.21
2022-02-12,3,34.5,76,28.29,8,0,1.31
2022-02-13,2,39.3,44,31.93,4,2,0.2
2022-02-14,2,31.4,33,19.1,6,2,0.93
2022-02-15,1,35.0,58,18.33,4,2,2.79
2022-02-16,2,29.4,88,24.95,3,2,3.42
2022-02-17,4,40.1,38,19.85,2,0,0.46
2022-02-18,2,25.3,56,21.16,7,1,1.86
2022-02-19,3,42.6,55,26.44,6,1,0.16
2022-02-20,3,29.7,48,10.54,7,2,0.05
2022-02-21,3,20.0,85,29.91,4,2,1.23
2022-02-22,3,30.9,57,22.44,5,2,1.78
2022-02-23,4,25.2,46,19.53,3,1,2.38
2022-02-24,0,35.9,72,21.46,2,2,0.62
2022-02-25,1,25.4,86,21.77,3,0,0.01
2022-02-26,3,26.9,70,11.61,5,0,0.98
2022-02-27,2,16.8,71,30.97,2,0,0.02
2022-02-28,3,26.8,79,22.25,5,1,0.14
2022-03-01,2,13.0,49,24.66,3,2,0.59
2022-03-02,2,18.9,74,27.71,4,2,0.86
2022-03-03,3,35.3,69,15.87,8,2,0.49
2022-03-04,4,35.5,68,24.84,3,1,1.31
2022-03-05,2,33.0,78,20.39,3,1,0.09
2022-03-06,2,23.2,82,27.08,3,1,0.23
2022-03-07,3,29.7,52,9.24,6,1,1.78
2022-03-08,2,30.0,76,21.41,5,0,0.23
2022-03-09,2,21.9,61,18.38,5,1,1.53
2022-03-10,3,40.5,81,24.59,7,1,0.08
2022-03-11,3,36.1,76,24.82,5,1,0.78
2022-03-12,1,28.5,62,17.75,7,2,0.29
2022-03-13,4,30.2,86,17.73,6,2,0.17
2022-03-14,4,31.5,75,21.34,4,2,1.26
2022-03-15,2,15.7,34,16.62,7,0,3.95
2022-03-16,4,28.3,72,27.05,3,0,0.08
2022-03-17,2,25.2,77,19.78,4,1,0.82
2022-03-18,1,23.0,63,4.56,8,2,1.84
2022-03-19,3,28.0,69,19.75,6,0,0.93
2022-03-20,3,42.6,40,15.77,5,2,2.46
2022-03-21,3,34.5,79,12.21,7,0,0.3
2022-03-22,4,26.0,32,14.58,3,0,4.81
2022-03-23,1,34.0,87,22.66,2,1,0.73
2022-03-24,4,39.8,62,29.97,8,1,0.63
2022-03-25,4,36.5,40,23.88,2,0,3.11
2022-03-26,1,30.4,45,18.36,4,1,1.24
2022-03-27,1,25.5,47,24.74,5,0,1.09
2022-03-28,1,34.9,59,19.25,2,0,1.95
2022-03-29,1,32.8,77,17.83,4,2,1.3
2022-03-30,3,36.3,84,15.07,6,1,0.27
2022-03-31,0,34.4,39,11.49,4,1,1.68
2022-04-01,0,37.3,47,19.66,8,1,0.21
2022-04-02,1,26.3,67,22.95,4,2,2.46
2022-04-03,0,39.2,48,21.42,8,2,6.87
2022-04-04,0,31.4,65,19.5,4,2,0.71
2022-04-05,1,44.5,88,16.33,3,1,0.88
2022-04-06,0,25.2,42,25.65,4,1,0.07
2022-04-07,4,42.2,85,14.1,7,1,0.02
2022-04-08,2,31.4,75,26.66,4,2,3.82
2022-04-09,2,25.4,32,15.99,3,2,0.21
2022-04-10,1,26.6,39,17.49,3,0,0.89
2022-04-11,3,27.8,67,13.2,6,2,2.53
2022-04-12,1,33.0,30,18.99,8,0,3.3
2022-04-13,3,33.7,84,27.85,5,1,1.1
2022-04-14,2,26.0,85,25.09,2,2,1.25
2022-04-15,1,29.8,56,27.87,2,1,1.66
2022-04-16,4,45.0,75,25.13,4,1,4.88
2022-04-17,0,42.1,37,15.38,6,1,1.38
2022-04-18,3,33.1,80,20.02,4,1,1.23
2022-04-19,0,30.3,75,17.32,2,2,0.02
2022-04-20,0,30.8,71,29.98,8,1,0.13
2022-04-21,1,34.3,46,14.82,8,0,1.29
2022-04-22,0,22.8,38,27.36,8,2,4.13
2022-04-23,4,28.2,35,27.36,3,1,3.02
2022-04-24,0,18.3,72,32.98,5,2,6.08
2022-04-25,1,32.8,54,19.54,6,0,1.13
2022-04-26,4,34.5,68,26.27,3,1,2.33
2022-04-27,2,26.6,78,35.69,5,0,2.75
2022-04-28,0,41.0,89,18.29,6,1,1.57
2022-04-29,1,21.4,57,12.79,6,0,0.62
2022-04-30,2,19.7,62,10.72,2,1,0.95
2022-05-01,2,31.6,83,26.28,3,2,2.93
2022-05-02,3,37.3,66,10.7,6,1,0.53
2022-05-03,4,41.8,38,19.77,7,2,3.86
2022-05-04,0,26.8,47,24.62,8,1,0.39
2022-05-05,1,37.6,85,23.11,6,1,2.08
2022-05-06,3,29.7,88,24.55,5,0,1.49
2022-05-07,4,28.8,50,23.33,2,0,2.08
2022-05-08,3,36.2,31,29.67,4,0,0.86
2022-05-09,4,34.6,87,16.29,8,1,4.05
2022-05-10,4,19.0,72,17.94,2,1,1.5
2022-05-11,0,40.3,88,17.36,4,1,0.51
2022-05-12,4,39.7,89,26.98,3,2,1.53
2022-05-13,3,25.6,67,27.4,3,2,0.51
2022-05-14,4,32.8,87,24.71,6,1,0.52
2022-05-15,0,33.5,69,29.1,7,0,0.77
2022-05-16,0,31.8,65,14.93,3,0,2.87
2022-05-17,3,26.1,79,32.0,6,0,1.04
2022-05-18,2,25.3,89,31.14,8,1,1.7
2022-05-19,2,29.8,72,26.41,2,0,0.75
2022-05-20,4,38.2,66,32.69,3,1,0.46
2022-05-21,1,33.8,44,12.06,2,2,4.64
2022-05-22,4,27.4,57,18.85,2,0,1.39
2022-05-23,3,35.4,47,17.59,7,2,4.08
2022-05-24,3,10.1,63,26.33,3,0,0.34
2022-05-25,3,38.0,51,15.7,2,1,0.24
2022-05-26,3,17.8,40,26.54,7,1,2.91
2022-05-27,3,27.5,87,30.22,7,1,1.71
2022-05-28,0,22.2,86,26.17,3,1,0.31
2022-05-29,2,20.9,42,23.7,7,0,0.47
2022-05-30,3,38.1,33,16.07,3,2,2.42
2022-05-31,1,26.7,51,16.92,3,1,0.91
2022-06-01,1,32.4,36,29.5,4,0,1.67
2022-06-02,1,29.7,72,26.68,2,2,0.57
2022-06-03,1,33.3,83,21.77,5,1,0.72
2022-06-04,0,30.5,53,19.49,3,2,7.02
