date,city,temperature_c,humidity_percent,electricity_units_kwh,household_size,income_level,power_outage_hours,year,month,day,day_of_week,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
2022-01-31,0,29.7,46,14.24,5,1,1.3,2022,1,31,0,0,24.17,25.48,26.65,23.034285714285716,22.247333333333337
2022-02-01,3,31.7,39,25.43,3,2,1.22,2022,2,1,1,0,14.24,17.76,25.32,24.13,22.250999999999998
2022-02-02,3,28.3,79,24.7,4,2,2.02,2022,2,2,2,0,25.43,27.13,23.4,23.782857142857143,22.294333333333334
2022-02-03,1,32.5,56,10.78,8,0,1.04,2022,2,3,3,0,24.7,31.9,20.51,20.765714285714285,21.970000000000002
2022-02-04,0,21.2,83,15.03,2,2,0.48,2022,2,4,4,0,10.78,28.42,29.2,18.852857142857143,21.497666666666664
2022-02-05,4,40.1,79,20.3,3,1,0.28,2022,2,5,5,1,15.03,17.62,22.84,19.235714285714288,21.413
2022-02-06,0,29.4,64,20.19,6,0,1.45,2022,2,6,6,1,20.3,24.17,10.2,18.667142857142856,21.746
2022-02-07,4,37.8,81,14.74,7,0,1.9,2022,2,7,0,0,20.19,14.24,15.3,18.738571428571426,21.727333333333334
2022-02-08,1,32.4,88,24.33,8,2,1.26,2022,2,8,1,0,14.74,25.43,20.88,18.58142857142857,21.842333333333332
2022-02-09,2,33.2,50,23.51,8,0,2.01,2022,2,9,2,0,24.33,24.7,23.86,18.41142857142857,21.83066666666667
2022-02-10,3,34.0,54,20.83,7,2,0.23,2022,2,10,3,0,23.51,10.78,21.66,19.84714285714286,21.802999999999997
2022-02-11,1,33.1,57,17.47,7,2,3.21,2022,2,11,4,0,20.83,15.03,29.31,20.195714285714285,21.408333333333335
2022-02-12,3,34.5,76,28.29,8,0,1.31,2022,2,12,5,1,17.47,20.3,10.29,21.337142857142858,22.008333333333333
2022-02-13,2,39.3,44,31.93,4,2,0.2,2022,2,13,6,1,28.29,20.19,22.86,23.014285714285712,22.31066666666667
2022-02-14,2,31.4,33,19.1,6,2,0.93,2022,2,14,0,0,31.93,14.74,11.09,23.63714285714286,22.57766666666667
2022-02-15,1,35.0,58,18.33,4,2,2.79,2022,2,15,1,0,19.1,24.33,26.56,22.779999999999998,22.303333333333335
2022-02-16,2,29.4,88,24.95,3,2,3.42,2022,2,16,2,0,18.33,23.51,21.43,22.985714285714284,22.420666666666666
2022-02-17,4,40.1,38,19.85,2,0,0.46,2022,2,17,3,0,24.95,20.83,24.52,22.845714285714287,22.265
2022-02-18,2,25.3,56,21.16,7,1,1.86,2022,2,18,4,0,19.85,17.47,16.82,23.372857142857146,22.409666666666666
2022-02-19,3,42.6,55,26.44,6,1,0.16,2022,2,19,5,1,21.16,28.29,29.68,23.108571428571427,22.301666666666666
2022-02-20,3,29.7,48,10.54,7,2,0.05,2022,2,20,6,1,26.44,31.93,28.25,20.052857142857142,21.711333333333336
2022-02-21,3,20.0,85,29.91,4,2,1.23,2022,2,21,0,0,10.54,19.1,25.5,21.59714285714286,21.858333333333334
2022-02-22,3,30.9,57,22.44,5,2,1.78,2022,2,22,1,0,29.91,18.33,21.22,22.184285714285714,21.899
2022-02-23,4,25.2,46,19.53,3,1,2.38,2022,2,23,2,0,22.44,24.95,25.48,21.41,21.700666666666667
2022-02-24,0,35.9,72,21.46,2,2,0.62,2022,2,24,3,0,19.53,19.85,17.76,21.640000000000004,21.823999999999998
2022-02-25,1,25.4,86,21.77,3,0,0.01,2022,2,25,4,0,21.46,21.16,27.13,21.72714285714286,21.645333333333333
2022-02-26,3,26.9,70,11.61,5,0,0.98,2022,2,26,5,1,21.77,26.44,31.9,19.608571428571427,20.968999999999998
2022-02-27,2,16.8,71,30.97,2,0,0.02,2022,2,27,6,1,11.61,10.54,28.42,22.527142857142856,21.054
2022-02-28,3,26.8,79,22.25,5,1,0.14,2022,2,28,0,0,30.97,29.91,17.62,21.43285714285714,21.208333333333332
2022-03-01,2,13.0,49,24.66,3,2,0.59,2022,3,1,1,0,22.25,22.44,24.17,21.75,21.224666666666668
2022-03-02,2,18.9,74,27.71,4,2,0.86,2022,3,2,2,0,24.66,19.53,14.24,22.91857142857143,21.673666666666666
2022-03-03,3,35.3,69,15.87,8,2,0.49,2022,3,3,3,0,27.71,21.46,25.43,22.12,21.355
2022-03-04,4,35.5,68,24.84,3,1,1.31,2022,3,4,4,0,15.87,21.77,24.7,22.558571428571433,21.359666666666666
2022-03-05,2,33.0,78,20.39,3,1,0.09,2022,3,5,5,1,24.84,11.61,10.78,23.812857142857144,21.68
2022-03-06,2,23.2,82,27.08,3,1,0.23,2022,3,6,6,1,20.39,30.97,15.03,23.25714285714286,22.081666666666667
2022-03-07,3,29.7,52,9.24,6,1,1.78,2022,3,7,0,0,27.08,22.25,20.3,21.398571428571426,21.713000000000005
2022-03-08,2,30.0,76,21.41,5,0,0.23,2022,3,8,1,0,9.24,24.66,20.19,20.934285714285714,21.753666666666668
2022-03-09,2,21.9,61,18.38,5,1,1.53,2022,3,9,2,0,21.41,27.71,14.74,19.601428571428567,21.875
2022-03-10,3,40.5,81,24.59,7,1,0.08,2022,3,10,3,0,18.38,15.87,24.33,20.84714285714286,21.88366666666667
2022-03-11,3,36.1,76,24.82,5,1,0.78,2022,3,11,4,0,24.59,24.84,23.51,20.844285714285714,21.92733333333333
2022-03-12,1,28.5,62,17.75,7,2,0.29,2022,3,12,5,1,24.82,20.39,20.83,20.467142857142854,21.824666666666666
2022-03-13,4,30.2,86,17.73,6,2,0.17,2022,3,13,6,1,17.75,27.08,17.47,19.131428571428568,21.833333333333332
2022-03-14,4,31.5,75,21.34,4,2,1.26,2022,3,14,0,0,17.73,9.24,28.29,20.860000000000003,21.60166666666667
2022-03-15,2,15.7,34,16.62,7,0,3.95,2022,3,15,1,0,21.34,21.41,31.93,20.17571428571429,21.091333333333335
2022-03-16,4,28.3,72,27.05,3,0,0.08,2022,3,16,2,0,16.62,18.38,19.1,21.414285714285715,21.356333333333332
2022-03-17,2,25.2,77,19.78,4,1,0.82,2022,3,17,3,0,27.05,24.59,18.33,20.72714285714286,21.404666666666667
2022-03-18,1,23.0,63,4.56,8,2,1.84,2022,3,18,4,0,19.78,24.82,24.95,17.832857142857144,20.725
2022-03-19,3,28.0,69,19.75,6,0,0.93,2022,3,19,5,1,4.56,17.75,19.85,18.11857142857143,20.721666666666668
2022-03-20,3,42.6,40,15.77,5,2,2.46,2022,3,20,6,1,19.75,17.73,21.16,17.83857142857143,20.541999999999998
2022-03-21,3,34.5,79,12.21,7,0,0.3,2022,3,21,0,0,15.77,21.34,26.44,16.534285714285712,20.06766666666667
2022-03-22,4,26.0,32,14.58,3,0,4.81,2022,3,22,1,0,12.21,16.62,10.54,16.242857142857144,20.202333333333332
2022-03-23,1,34.0,87,22.66,2,1,0.73,2022,3,23,2,0,14.58,27.05,29.91,15.615714285714287,19.96066666666667
2022-03-24,4,39.8,62,29.97,8,1,0.63,2022,3,24,3,0,22.66,19.78,22.44,17.071428571428573,20.211666666666666
2022-03-25,4,36.5,40,23.88,2,0,3.11,2022,3,25,4,0,29.97,4.56,19.53,19.83142857142857,20.356666666666666
2022-03-26,1,30.4,45,18.36,4,1,1.24,2022,3,26,5,1,23.88,19.75,21.46,19.632857142857144,20.253333333333334
2022-03-27,1,25.5,47,24.74,5,0,1.09,2022,3,27,6,1,18.36,15.77,21.77,20.91428571428571,20.35233333333333
2022-03-28,1,34.9,59,19.25,2,0,1.95,2022,3,28,0,0,24.74,12.21,11.61,21.919999999999998,20.607000000000003
2022-03-29,1,32.8,77,17.83,4,2,1.3,2022,3,29,1,0,19.25,14.58,30.97,22.384285714285713,20.169
2022-03-30,3,36.3,84,15.07,6,1,0.27,2022,3,30,2,0,17.83,22.66,22.25,21.3,19.929666666666666
2022-03-31,0,34.4,39,11.49,4,1,1.68,2022,3,31,3,0,15.07,29.97,24.66,18.66,19.490666666666666
2022-04-01,0,37.3,47,19.66,8,1,0.21,2022,4,1,4,0,11.49,23.88,27.71,18.057142857142857,19.222333333333335
2022-04-02,1,26.3,67,22.95,4,2,2.46,2022,4,2,5,1,19.66,18.36,15.87,18.71285714285714,19.458333333333332
2022-04-03,0,39.2,48,21.42,8,2,6.87,2022,4,3,6,1,22.95,24.74,24.84,18.23857142857143,19.34433333333333
2022-04-04,0,31.4,65,19.5,4,2,0.71,2022,4,4,0,0,21.42,19.25,20.39,18.274285714285714,19.314666666666664
